T,Salt,Cs,fs,Cp,Gamma,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
10,NaCl,10,0.5,20,0.001,10959.14428807734,10102.189535223775,8757.671941206796,8747.497,86.01796167315695
10,NaCl,10,0.5,20,0.00129,10959.14428807734,10830.083333061193,9108.438778853082,9003.399,86.01787773876389
10,NaCl,10,0.5,20,0.00167,10959.14428807734,11539.118338204335,8843.579597447942,8556.042,86.01776775589009
10,NaCl,10,0.5,20,0.00215,10959.14428807734,11660.41253344382,9008.579664477726,8556.042,86.01762883035575
10,NaCl,10,0.5,20,0.00278,11766.714839594282,11715.687898929948,8928.130626053518,8556.042,86.01744649093244
10,NaCl,10,0.5,20,0.00359,11766.714839594282,11715.687898929948,8928.130626053518,8551.327,86.01721205509901
10,NaCl,10,0.5,20,0.00464,11766.714839594282,11715.687898929948,9134.107011510749,8959.551,86.01690815774732
10,NaCl,10,0.5,20,0.006,11766.714839594282,11652.441590548651,9147.095441459642,8346.025,86.01651453991634
10,NaCl,10,0.5,20,0.00774,11766.714839594282,11438.059027156656,9147.095441459642,8408.774,86.01601094325908
10,NaCl,10,0.5,20,0.01,10164.235178174642,11072.430198500118,7140.935803446545,7615.633,86.01535685085305
10,NaCl,10,0.5,20,0.0129,10164.235178174642,10558.251952457897,7036.175480312756,6826.933,86.0145175360253
10,NaCl,10,0.5,20,0.0167,10164.235178174642,10124.10875481724,6218.8147132223585,7197.6875,86.0134177565787
10,NaCl,10,0.5,20,0.0215,10164.235178174642,9435.42676193901,5975.251410830761,6015.7427,86.01202858158764
10,NaCl,10,0.5,20,0.0278,7044.665269394701,8218.010044171982,5021.068437659736,5895.6655,86.01020532346035
10,NaCl,10,0.5,20,0.0359,7044.665269394701,7275.476518922953,4951.058104018995,5604.9946,86.00786119122964
10,NaCl,10,0.5,20,0.0464,7044.665269394701,7053.381438235394,4599.759775769815,5614.397,86.00482259638669
10,NaCl,10,0.5,20,0.0599,7044.665269394701,6720.007779734803,4570.734333983393,3648.6794,86.00091598932877
10,NaCl,10,0.5,20,0.0774,7044.665269394701,6661.323409208215,3538.264452274622,3845.7998,85.99585213317371
10,NaCl,10,0.5,20,0.1,3783.011986863414,4649.171030861819,3502.7688313785784,3084.9272,85.98931296582136
10,NaCl,10,0.5,20,0.129,3783.011986863414,4517.6012135264655,3370.67257504248,2918.1328,85.98092272725667
10,NaCl,10,0.5,20,0.167,3783.011986863414,4282.384190839952,3302.397202931662,2789.745,85.96992986072487
10,NaCl,10,0.5,20,0.215,3783.011986863414,3719.009337684772,2580.0650760628146,2414.7773,85.95604614347535
10,NaCl,10,0.5,20,0.278,3783.011986863414,3322.2516364614253,2486.507512287556,2332.677,85.93782716716817
10,NaCl,10,0.5,20,0.359,1887.0896159390436,2851.39066131208,2096.50969809778,1948.8717,85.91440844318728
10,NaCl,10,0.5,20,0.464,1887.0896159390436,2442.3023255509424,2032.836592720758,1797.0779,85.8840603360366
10,NaCl,10,0.5,20,0.599,1887.0896159390436,2107.1304417823508,1994.2498096955146,1639.5405,85.84505709252343
10,NaCl,10,0.5,20,0.774,1887.0896159390436,1767.5507170795029,1911.430248818176,1574.4427,85.79452369400424
10,NaCl,10,0.5,20,1.0,943.5885011773667,1344.3148319660102,1359.3759721687259,1514.1881,85.72930743058468
10,NaCl,10,0.5,20,1.29,943.5885011773667,1092.3915474201262,1343.7394233512787,1415.1589,85.64569545904067
10,NaCl,10,0.5,20,1.67,943.5885011773667,944.3609060994835,1146.1630222868805,1214.5554,85.53625836763075
10,NaCl,10,0.5,20,2.15,943.5885011773667,837.337379421945,991.4588164959897,1083.0326,85.39822189771272
10,NaCl,10,0.5,20,2.78,457.6813581611184,677.0377876801209,821.420531295105,973.72534,85.21738702998428
10,NaCl,10,0.5,20,3.59,457.6813581611184,549.2598227506052,659.6309928834011,731.29535,84.98544761130728
10,NaCl,10,0.5,20,4.64,457.6813581611184,454.8910565268106,586.8986574166232,702.3021,84.68572470620805
10,NaCl,10,0.5,20,5.99,457.6813581611184,382.65086577110293,451.3309611359572,536.0062,84.30191937884514
10,NaCl,10,0.5,20,7.74,222.90436656628125,318.37837180490226,326.10384619819047,369.7986,83.80698168711913
10,NaCl,10,0.5,20,10.0,222.90436656628125,266.7627414272431,307.2665566561271,300.9203,83.1721019806772
10,NaCl,10,0.5,20,12.9,222.90436656628125,224.89613082042598,276.1857229991873,279.43448,82.3644736511868
10,NaCl,10,0.5,20,16.7,222.90436656628125,189.87869515360484,209.18059754676437,201.3935,81.31806084336417
10,NaCl,10,0.5,20,21.5,163.28073285725517,167.72664373280247,155.46361255109264,146.73346,80.01525742628964
10,NaCl,10,0.5,20,27.8,163.28073285725517,130.71729185867326,116.45128808556717,114.34515,78.33695031232031
10,NaCl,10,0.5,20,35.9,104.54474708380165,104.9039120947283,96.87514117281466,106.86765,76.23074887514751
10,NaCl,10,0.5,20,46.4,104.54474708380165,92.39885249430681,74.60062755753816,80.21131,73.58454497964695
10,NaCl,10,0.5,20,59.9,104.54474708380165,77.41679314466388,58.969605301073045,65.72382,70.31680864645456
10,NaCl,10,0.5,20,77.4,68.34417582239674,62.92072362840258,53.93620482158711,53.46162,66.29587740267766
10,NaCl,10,0.5,20,100.0,68.34417582239674,57.81243930958136,41.27323501482763,43.296154,61.441427700949504
10,NaCl,10,0.5,20,129.0,45.32713015453947,48.26454480796432,34.5715076178802,39.509075,55.729327065206725
10,NaCl,10,0.5,20,167.0,45.32713015453947,39.881655399741625,30.929976248361093,33.65215,49.040474237722876
10,NaCl,10,0.5,20,215.0,45.32713015453947,35.279651361889655,29.897180975168077,27.812618,41.726560997876476
10,NaCl,10,0.5,20,278.0,28.871464688481034,29.66284598425589,25.07695994320634,25.581013,33.75601161349712
10,NaCl,10,0.5,20,359.0,28.871464688481034,26.859471389600387,22.674601085794283,25.29348,25.70315213789817
10,NaCl,10,0.5,20,464.0,28.871464688481034,23.259213289751226,21.77690482683647,23.26321,18.05305111234549
10,NaCl,10,0.5,20,599.0,20.035029509591986,19.64028289596468,21.62738243961773,23.065624,11.462412772346838
10,NaCl,10,0.5,20,774.0,20.035029509591986,18.772819337222288,20.808341837304777,23.981462,6.361356751274111
10,NaCl,10,0.5,20,1000.0,20.035029509591986,18.86257125846171,19.705934400964118,23.233345,2.9737024605255447
140,NaCl,1000,0.5,100,1.0,2202.777618980215,2508.153534989234,837.9043958923415,1029.7805,2145.1180081207267
140,NaCl,1000,0.5,100,1.29,1514.5603003858544,1986.6505272340396,1467.2250682582696,1275.7549,2143.025870073318
140,NaCl,1000,0.5,100,1.67,1514.5603003858544,1861.7731474499183,1391.5076795215823,1173.9586,2140.287536094243
140,NaCl,1000,0.5,100,2.15,1514.5603003858544,1555.5549272683197,1139.9097130727457,1003.0922,2136.833588707132
140,NaCl,1000,0.5,100,2.78,988.8193922906745,1329.0683438288452,996.8426811801961,1007.79114,2132.3087401706566
140,NaCl,1000,0.5,100,3.59,988.8193922906745,1159.6744737122083,780.0197924713297,792.6139,2126.5051539909837
140,NaCl,1000,0.5,100,4.64,988.8193922906745,1036.9699086309918,725.1201120331115,685.81866,2119.0054899852375
140,NaCl,1000,0.5,100,5.99,622.3853322739437,952.1528586410149,548.3820415951291,536.512,2109.40191631814
140,NaCl,1000,0.5,100,7.74,622.3853322739437,793.7465457377069,455.3998492368698,483.38272,2097.0175895664183
140,NaCl,1000,0.5,100,10.0,622.3853322739437,744.1188659834938,433.74981401755434,415.66794,2081.1316349017106
140,NaCl,1000,0.5,100,12.9,894.489943297563,643.0365479065362,384.3940822623382,369.90033,2060.9231656467723
140,NaCl,1000,0.5,100,16.7,894.489943297563,582.1440077007883,362.56778544351096,336.8448,2034.7398331871448
140,NaCl,1000,0.5,100,21.5,894.489943297563,473.15612975625754,313.70840873821334,295.67523,2002.1410970633221
140,NaCl,1000,0.5,100,27.8,894.489943297563,418.0799759872148,228.43758799232515,223.99303,1960.1465106000187
140,NaCl,1000,0.5,100,35.9,406.9407899234633,337.5315293342842,203.07675499903016,183.75052,1907.4451559872161
140,NaCl,1000,0.5,100,46.4,406.9407899234633,293.8907981628139,176.2219017045958,162.45717,1841.231864412528
140,NaCl,1000,0.5,100,59.9,406.9407899234633,250.04619681533674,154.59298906540775,142.73251,1759.4665934193256
140,NaCl,1000,0.5,100,77.4,406.9407899234633,191.885654194471,125.69175624769261,117.50954,1658.854885720355
140,NaCl,1000,0.5,100,100.0,171.9725046009527,144.2636362045888,108.33767765080181,98.86953,1537.386886190264
